Insurer,Link,1st Time Stamp,,2nd Time Stamp,,3rd Time Stamp,,4th Time Stamp,,5th Time Stamp,,6th Time Stamp,,7th Time Stamp,,8th Time Stamp,,9th Time Stamp,,FRT (First Response Time) (in Hrs),"FRT less than 1 day
(10)","FRT >1 Day <3 days
(5)","FRT more than 3 days
(-10)",Points,Marks,Score Methodology
,,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,,,,,,,
HDFC ERGO General Insurance Company Limited,https://x.com/Piyushbond7/status/2045807251538207061,19/04/2026 10:10,19/04/2026 10:16,19/04/2026 13:33,19/04/2026 12:16,NA,19/04/2026 13:38,NA,27/04/2026 17:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0981,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/iamSR1610/status/2047618210837795120,24/04/2026 10:06,24/04/2026 10:10,24/04/2026 12:23,24/04/2026 12:10,NA,24/04/2026 12:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0639,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/Shilpayadav325/status/2039943983141675247,03/04/2026 05:52,03/04/2026 06:12,NA,13/04/2026 18:44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3372,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/Keshav291189/status/2040646745093497115,05/04/2026 04:24,05/04/2026 04:26,05/04/2026 06:42,06/04/2026 02:38,05/04/2026 19:35,16/04/2026 17:50,06/04/2026 10:57,NA,07/04/2026 15:14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0336,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/rahulkp5/status/2042117131513516464,09/04/2026 05:47,09/04/2026 06:14,09/04/2026 06:39,09/04/2026 07:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4447,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/dassum_/status/2041542820939669590,07/04/2026 15:45,07/04/2026 15:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0869,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/manasie/status/2045104871624581354,17/04/2026 11:39,17/04/2026 12:14,NA,18/04/2026 14:49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5889,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/VikramJ255687/status/2045459352652579048,18/04/2026 11:08,18/04/2026 11:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2306,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/RohitYadavX/status/2044973410531553343,17/04/2026 02:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/PreethamB20/status/2041016098938880025,06/04/2026 04:52,06/04/2026 05:02,NA,07/04/2026 17:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1636,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/dhruvarya09/status/2041858371981340983,08/04/2026 12:39,08/04/2026 12:43,08/04/2026 12:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0708,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/RajuThatipalli/status/2041932062794580244,08/04/2026 17:31,08/04/2026 17:34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0433,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/gogiavaibhav/status/2049383958606229835,29/04/2026 07:03,29/04/2026 07:13,NA,29/04/2026 09:13,NA,29/04/2026 11:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1794,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/ShivamK05642640/status/2044305090241278072,15/04/2026 06:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
